layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
81,Conv2d,0.04522856437609357,128,512,4.0,2.4877204350993036,4.527157882146037,0.9770768184927984,True,66.0391845703125,conv2d,5.717670705595374,3.7816968344675472,1.8198017021013553,decoder.upsample_blocks.1.0,1152,6049.18455272913,1152,246,0,9,0.09485359049677734,66.0391845703125,91.59992801377658,success,8.126449584960938,0.6615704298019409,,0,66.0391845703125,6.582643032073975
86,Conv2d,0.04133183575391586,128,512,4.0,2.266736973458568,4.469444738055022,0.9391081777117203,True,93.70282745361328,conv2d,5.589522833911571,3.764506343814503,1.9717526957861287,decoder.upsample_blocks.2.0,1152,5814.419254690409,1152,192,0,9,0.09141886657734451,93.70282745361328,62.05169483886474,success,9.680022239685059,0.5778446793556213,,0,93.70282745361328,7.018842697143555
95,Conv2d,0.048693843342375864,128,256,2.0,1.962292381377214,3.4939661790371646,0.9040015586577743,True,60.3327751159668,conv2d,4.608263999435996,3.4498820925640574,1.780553301942171,decoder.residual_stack.stack.0.res_block.1,1152,2817.617866974324,1152,331,0,9,0.05289237282911732,60.3327751159668,46.70128071447942,success,7.7674174308776855,0.2414749413728714,over-trained,0,60.3327751159668,1.6098895072937012
97,Conv2d,0.03469299185124908,128,256,2.0,1.8615221346995332,3.2106717920987617,0.763190404669048,True,53.05864715576172,conv2d,3.7645077512762644,2.6365185678560397,1.724756172516312,decoder.residual_stack.stack.0.res_block.3,128,433.0305811613798,128,63,0,1,0.10854158654249785,53.05864715576172,8.16135737291139,success,7.284136772155762,0.29276689887046814,over-trained,0,53.05864715576172,0.998251736164093
101,Conv2d,0.029271777063115012,128,256,2.0,2.49743551478932,3.8825958370075746,0.9323004894322969,True,35.861881256103516,conv2d,4.783313961268178,3.174420303267744,1.5546330682076108,decoder.residual_stack.stack.1.res_block.1,1152,1494.239811487496,1152,188,0,9,0.10921170931669476,35.861881256103516,41.666520526811006,success,5.988479137420654,0.22801396250724792,,0,35.861881256103516,1.8644133806228638
103,Conv2d,0.06809600920369807,128,256,2.0,2.2761727060504384,2.767376476772111,0.8676590011572682,True,16.436241149902344,conv2d,3.2321562816145852,2.277166661866851,1.2158025045357819,decoder.residual_stack.stack.1.res_block.3,128,189.30699507892132,128,45,0,1,0.19024059478390914,16.436241149902344,11.517657434713781,success,4.054163455963135,0.26239141821861267,,0,16.436241149902344,1.162363052368164
107,Conv2d,0.034653476235874114,128,256,2.0,2.515960083483745,3.7231190657215536,0.943447730907764,True,30.185649871826172,conv2d,4.660106678753087,3.197224799250187,1.4798005302875497,decoder.residual_stack.stack.2.res_block.1,1152,1574.7977994307876,1152,147,0,9,0.12503428032572397,30.185649871826172,52.17041230245726,success,5.494146823883057,0.243711456656456,,0,30.185649871826172,2.498479127883911
109,Conv2d,0.042510260314866155,128,256,2.0,1.997330642034964,3.188244431408196,0.7893530099261448,True,39.46868896484375,conv2d,3.404501695519697,2.344059171820526,1.5962527006344225,decoder.residual_stack.stack.2.res_block.3,128,220.83055900782347,128,63,0,1,0.12565185017756644,39.46868896484375,5.595082198056429,success,6.282411098480225,0.2598402202129364,over-trained,0,39.46868896484375,0.6539998054504395
111,Conv2d,0.04001755495301129,128,128,1.0,1.5737680000863161,3.170437087186392,0.7801265223682393,True,103.40743255615234,conv2d,3.847590323261356,3.1248820032375346,2.014551755412808,decoder.final.0,1152,1333.1591668244982,1152,568,0,9,0.02407477048298048,103.40743255615234,12.89229539763078,success,10.168944358825684,0.00508791534230113,over-trained,5,103.40743255615234,0.09576337784528732
114,Conv2d,0.06914466469605246,64,128,2.0,1.7888574767544867,2.9074614033147954,0.7818855568111415,True,42.20049285888672,conv2d,3.7788190099889527,2.867992784370727,1.6253175231096582,decoder.final.3,576,737.8919702470303,576,203,0,9,0.05536694068970417,42.20049285888672,17.485387498066686,success,6.496190547943115,0.13759654760360718,over-trained,0,42.20049285888672,0.4479791224002838
